Type,Section,W,A,d,bf,tw,tf,kdes,k,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
W,W30X191,191.0,56.1,30.7,15,0.71,1.19,1.97,1.5625,9200.0,675.0,600.0,12.8,673.0,138.0,89.5,3.46,21,146000
W,W30X173,173.0,50.9,30.4,15,0.655,1.07,1.85,1.5625,8230.0,607.0,541.0,12.7,598.0,123.0,79.8,3.42,15.6,129000
W,W30X148,148.0,43.6,30.7,10.5,0.65,1.18,1.83,1.5625,6680.0,500.0,436.0,12.4,227.0,68.0,43.3,2.28,14.5,49400
W,W30X132,132.0,38.8,30.3,10.5,0.615,1,1.65,1.5,5770.0,437.0,380.0,12.2,196.0,58.4,37.2,2.25,9.72,42100
W,W30X124,124.0,36.5,30.2,10.5,0.585,0.93,1.58,1.5,5360.0,408.0,355.0,12.1,181.0,54.0,34.4,2.23,7.99,38600
W,W30X116,116.0,34.2,30,10.5,0.565,0.85,1.5,1.5,4930.0,378.0,329.0,12.0,164.0,49.2,31.3,2.19,6.43,34900
W,W30X108,108.0,31.7,29.8,10.5,0.545,0.76,1.41,1.5,4470.0,346.0,299.0,11.9,146.0,43.9,27.9,2.15,4.99,30900
W,W30X99,99.0,29.0,29.7,10.5,0.52,0.67,1.32,1.5,3990.0,312.0,269.0,11.7,128.0,38.6,24.5,2.1,3.77,26800
W,W30X90,90.0,26.3,29.5,10.4,0.47,0.61,1.26,1.4375,3610.0,283.0,245.0,11.7,115.0,34.7,22.1,2.09,2.84,24000
W,W27X539,539.0,159.0,32.5,15.3,1.97,3.54,4.33,1.8125,25600.0,1890.0,1570.0,12.7,2110.0,437.0,277.0,3.65,496,443000
W,W27X368,368.0,109.0,30.4,14.7,1.38,2.48,3.27,1.875,16200.0,1240.0,1060.0,12.2,1310.0,279.0,179.0,3.48,170,255000
W,W27X336,336.0,99.2,30,14.6,1.26,2.28,3.07,1.8125,14600.0,1130.0,972.0,12.1,1180.0,252.0,162.0,3.45,131,226000
W,W27X307,307.0,90.2,29.6,14.4,1.16,2.09,2.88,1.8125,13100.0,1030.0,887.0,12.0,1050.0,227.0,146.0,3.41,101,199000
W,W27X281,281.0,83.1,29.3,14.4,1.06,1.93,2.72,1.75,11900.0,936.0,814.0,12.0,953.0,206.0,133.0,3.39,79.5,178000
W,W27X258,258.0,76.1,29,14.3,0.98,1.77,2.56,1.6875,10800.0,852.0,745.0,11.9,859.0,187.0,120.0,3.36,61.6,159000
W,W27X235,235.0,69.4,28.7,14.2,0.91,1.61,2.4,1.6875,9700.0,772.0,677.0,11.8,769.0,168.0,108.0,3.33,47,141000
W,W27X217,217.0,63.9,28.4,14.1,0.83,1.5,2.29,1.625,8910.0,711.0,627.0,11.8,704.0,154.0,100.0,3.32,37.6,128000
W,W27X194,194.0,57.1,28.1,14,0.75,1.34,2.13,1.5625,7860.0,631.0,559.0,11.7,619.0,136.0,88.1,3.29,27.1,111000
W,W27X178,178.0,52.5,27.8,14.1,0.725,1.19,1.98,1.5625,7020.0,570.0,505.0,11.6,555.0,122.0,78.8,3.25,20.1,98400
W,W27X161,161.0,47.6,27.6,14,0.66,1.08,1.87,1.5625,6310.0,515.0,458.0,11.5,497.0,109.0,70.9,3.23,15.1,87300
W,W27X146,146.0,43.2,27.4,14,0.605,0.975,1.76,1.5,5660.0,464.0,414.0,11.5,443.0,97.7,63.5,3.2,11.3,77200
W,W27X129,129.0,37.8,27.6,10,0.61,1.1,1.7,1.5,4760.0,395.0,345.0,11.2,184.0,57.6,36.8,2.21,11.1,32500
W,W27X114,114.0,33.6,27.3,10.1,0.57,0.93,1.53,1.5,4080.0,343.0,299.0,11.0,159.0,49.3,31.5,2.18,7.33,27600
W,W27X102,102.0,30.0,27.1,10,0.515,0.83,1.43,1.4375,3620.0,305.0,267.0,11.0,139.0,43.4,27.8,2.15,5.28,24000
W,W27X94,94.0,27.6,26.9,10,0.49,0.745,1.34,1.4375,3270.0,278.0,243.0,10.9,124.0,38.8,24.8,2.12,4.03,21300
W,W27X84,84.0,24.7,26.7,10,0.46,0.64,1.24,1.4375,2850.0,244.0,213.0,10.7,106.0,33.2,21.2,2.07,2.81,17900
W,W24X370,370.0,109.0,28,13.7,1.52,2.72,3.22,2,13400.0,1130.0,957.0,11.1,1160.0,267.0,170.0,3.27,201,186000
W,W24X335,335.0,98.3,27.5,13.5,1.38,2.48,2.98,1.875,11900.0,1020.0,864.0,11.0,1030.0,238.0,152.0,3.23,152,161000
W,W24X306,306.0,89.7,27.1,13.4,1.26,2.28,2.78,1.8125,10700.0,922.0,789.0,10.9,919.0,214.0,137.0,3.2,117,142000
W,W24X279,279.0,81.9,26.7,13.3,1.16,2.09,2.59,1.8125,9600.0,835.0,718.0,10.8,823.0,193.0,124.0,3.17,90.5,125000
W,W24X250,250.0,73.5,26.3,13.2,1.04,1.89,2.39,1.75,8490.0,744.0,644.0,10.7,724.0,171.0,110.0,3.14,66.6,108000
W,W24X229,229.0,67.2,26,13.1,0.96,1.73,2.23,1.6875,7650.0,675.0,588.0,10.7,651.0,154.0,99.4,3.11,51.3,96100
W,W24X207,207.0,60.7,25.7,13,0.87,1.57,2.07,1.625,6820.0,606.0,531.0,10.6,578.0,137.0,88.8,3.08,38.3,84100
W,W24X192,192.0,56.5,25.5,13,0.81,1.46,1.96,1.625,6260.0,559.0,491.0,10.5,530.0,126.0,81.8,3.07,30.8,76300
W,W24X176,176.0,51.7,25.2,12.9,0.75,1.34,1.84,1.5625,5680.0,511.0,450.0,10.5,479.0,115.0,74.3,3.04,23.9,68400
W,W24X162,162.0,47.8,25,13,0.705,1.22,1.72,1.5625,5170.0,468.0,414.0,10.4,443.0,105.0,68.4,3.05,18.5,62600
